Fund Name,ISIN,Asset Class,Sub-Category,Region,Funding Source,Distribution Type,Risk Rating (1-7),Fund Fees % p.a. (after Endowus cashback),1Y Return %,3Y Return % (annualised),1Y Payout % (Dist. funds)
Barings Global High Yield Bond Fund (Dist.),IE00BFM0MQ22,Fixed Income,High Yield,Global,USD Cash,Distributing,4,0.7,8.7,8.7,9.6
Barings Global High Yield Bond Fund SGD-Hedged,IE00BFM0NB44,Fixed Income,High Yield,Global,SGD Cash,Accumulating,4,0.71,5.8,6.4,
Barings Global High Yield Bond Fund SGD-Hedged (Dist.),IE00BFM0NC50,Fixed Income,High Yield,Global,SGD Cash,Distributing,4,0.71,5.8,6.4,6.0
Barings Global Senior Secured Bond Fund (Dist.),IE00BFM0L210,Fixed Income,Senior Secured HY,Global,USD Cash,Distributing,4,0.71,6.6,7.9,8.8
PIMCO GIS US High Yield Bond Fund,IE0002460974,Fixed Income,High Yield Corporate,US,USD Cash,Accumulating,4,0.55,8.5,8.4,
PIMCO GIS Asia High Yield Bond Fund SGD-Hedged (Dist.),IE00BGSXS868,Fixed Income,HY Corporate,Asia,"SGD Cash, SRS",Distributing,5,0.86,6.1,5.4,6.1
PIMCO GIS Global High Yield Bond Fund SGD-Hedged (Dist.),IE00BYZWMV33,Fixed Income,HY Corporate,Global,"SGD Cash, SRS",Distributing,4,0.8,4.2,5.3,5.2
Allianz Global High Yield Fund SGD-Hedged (Dist.),LU2049825206,Fixed Income,HY Corporate,Global,"SGD Cash, SRS",Distributing,4,0.85,4.4,5.7,5.1
AB Short Duration High Yield Portfolio Fund SGD-Hedged (Dist.),LU1306336097,Fixed Income,Short Duration HY,Global,SGD Cash,Distributing,3,0.75,4.5,5.3,4.2
Manulife GF - Preferred Securities Income Fund (Dist.),LU1813986715,Fixed Income,Investment Grade,US,USD Cash,Distributing,4,0.76,7.7,7.5,7.3
AB American Income Portfolio Fund,LU0249549436,Fixed Income,Investment Grade,US,USD Cash,Accumulating,2,0.77,5.1,5.7,
AB American Income Portfolio Fund (Dist.),LU0871809306,Fixed Income,Investment Grade,US,USD Cash,Distributing,2,0.76,5.2,5.8,7.0
Neuberger Berman Strategic Income Fund,IE00B87L2R26,Fixed Income,Investment Grade,US,USD Cash,Accumulating,2,0.6,6.1,5.9,
Neuberger Berman Strategic Income Fund (Dist.),IE00B7BTH691,Fixed Income,Investment Grade,US,USD Cash,Distributing,2,0.59,6.1,5.9,6.6
UBS Asia Flexible Bond Fund,LU0464244333,Fixed Income,IG Corporate,Asia,USD Cash,Accumulating,4,0.87,6.2,5.2,
Eastspring Asia Select Bond Fund,LU2068974737,Fixed Income,Investment Grade,Asia,USD Cash,Accumulating,4,0.74,5.8,6.0,
Manulife SGD Income Fund USD-Hedged (Dist.),SG9999015804,Fixed Income,Investment Grade,Asia,USD Cash,Distributing,4,0.57,10.0,6.4,4.5
Eastspring Singapore Select Bond Fund SGD-Hedged,SG9999007454,Fixed Income,Investment Grade,Singapore,"SGD Cash, CPF OA, CPF SA, SRS",Accumulating,2,0.35,6.4,5.5,
UOBAM United Singapore Bond Fund,SG9999003412,Fixed Income,Investment Grade,Singapore,"SGD Cash, CPF OA, CPF SA, SRS",Accumulating,2,0.49,7.2,5.1,
Fullerton Short Term Interest Rate Fund USD-Hedged,SG9999015671,Fixed Income,Short Duration IG Corp,Global,USD Cash,Accumulating,2,0.3,5.7,5.9,
Amova (formerly Nikko AM) Short Term Bond Fund USD-Hedged,SG9999015572,Fixed Income,Short Duration IG,Asia,USD Cash,Accumulating,2,0.27,5.8,5.9,
LionGlobal Short Duration Bond Fund USD-Hedged,SG9999016034,Fixed Income,Short Duration IG Corp,Asia,USD Cash,Accumulating,2,0.2,6.4,5.8,
UOBAM United SGD Fund USD-Hedged (Dist.),SG9999014872,Fixed Income,Short Duration IG,Asia,USD Cash,Distributing,2,0.34,5.1,5.5,2.8
